CustomerID,LoanID,ApplicantType,Age,EmploymentType,AnnualIncome,MonthlyIncome,LoanType,LoanAmount,LoanTenureMonths,InterestRate,CollateralValue,CreditScore,PastDefaults,NumOpenAccounts,BusinessRevenue,ProfitMargin,BusinessYears,ProbDefault
CUST200005,LN300005,Personal,43,Unemployed,10960126,913343,Car,2861992,48,13.76,6095929,887,0,5,,,,0.499
CUST200077,LN300077,Business,56,Business-owner,11009691,917474,Equipment Finance,12909516,12,22.0,6353575,880,2,6,14239111.11,-10.94,22.0,0.041
CUST200078,LN300078,Business,46,Business-owner,4929617,410801,Business Expansion,631868,120,21.09,13726798,807,0,4,16836479.92,13.16,17.0,0.032
CUST200013,LN300013,Personal,49,Unemployed,11958474,996539,Debt Consolidation,9775461,24,15.75,10971177,730,0,1,,,,0.0
CUST200032,LN300032,Personal,26,Unemployed,9990074,832506,Home,10888860,120,15.06,7068132,496,0,9,,,,0.61
CUST200056,LN300056,Personal,34,Salaried,7730961,644246,Home,926395,48,21.52,15740258,561,0,4,,,,0.544
CUST200089,LN300089,Business,32,Business-owner,2406344,200528,Business Expansion,11865708,24,12.3,16226854,850,0,7,17041981.96,10.2,28.0,0.841
CUST200027,LN300027,Personal,43,Self-employed,10068400,839033,Wedding,12883378,36,23.06,14293436,799,0,4,,,,0.637
CUST200043,LN300043,Personal,61,Unemployed,1486150,123845,Home,8933613,60,10.03,14652353,803,0,4,,,,0.374
CUST200070,LN300070,Business,38,Self-employed,10843771,903647,Equipment Finance,3752517,36,13.52,7764461,574,3,2,9918431.33,13.19,30.0,0.885
CUST200016,LN300016,Personal,56,Salaried,6497665,541472,Debt Consolidation,462061,60,15.38,8551646,822,0,2,,,,0.694
CUST200041,LN300041,Personal,23,Self-employed,2230205,185850,Home,5444441,12,18.12,12988753,678,0,1,,,,0.181
CUST200097,LN300097,Business,39,Self-employed,9432819,786068,Equipment Finance,13924851,84,18.67,5000783,566,0,3,10464355.08,28.64,16.0,0.275
CUST200010,LN300010,Personal,30,Self-employed,7502212,625184,Debt Consolidation,3777974,24,23.35,8767500,542,1,0,,,,0.0
CUST200073,LN300073,Business,36,Business-owner,8702693,725224,Invoice Discounting,9166779,84,10.35,9879032,447,0,7,17381512.95,7.55,28.0,0.283
CUST200012,LN300012,Personal,65,Unemployed,11787868,982322,Car,14266173,36,8.09,8976973,745,0,1,,,,0.0
CUST200048,LN300048,Personal,55,Unemployed,2901839,241819,Debt Consolidation,13349672,120,14.69,9526221,446,2,0,,,,0.377
CUST200086,LN300086,Business,59,Business-owner,2306217,192184,Equipment Finance,652731,60,15.98,10409971,512,1,9,14452517.06,16.88,32.0,0.671
CUST200029,LN300029,Personal,35,Self-employed,10707281,892273,Medical,10031762,12,21.44,809178,781,0,1,,,,0.275
CUST200094,LN300094,Business,32,Business-owner,8414750,701229,Working Capital,1738303,12,10.11,6696674,555,0,4,4246925.07,-22.58,27.0,0.665
CUST200006,LN300006,Personal,38,Unemployed,150640,12553,Wedding,12799494,120,22.38,18132747,743,1,6,,,,0.0
CUST200067,LN300067,Business,60,Self-employed,205851,17154,Equipment Finance,2670527,36,11.97,2072171,400,2,6,5898607.75,9.69,27.0,0.169
CUST200066,LN300066,Business,44,Business-owner,1756850,146404,Invoice Discounting,14501673,60,15.56,432184,756,0,0,7745143.91,-20.65,32.0,0.0
CUST200036,LN300036,Personal,64,Self-employed,842371,70197,Home,3277945,12,10.95,10822611,808,1,5,,,,0.864
CUST200017,LN300017,Personal,44,Salaried,11536889,961407,Personal,14490018,48,20.16,5290717,580,0,3,,,,0.878
CUST200050,LN300050,Personal,33,Salaried,11492112,957676,Home,11013829,12,12.92,13693090,740,0,7,,,,0.0
CUST200035,LN300035,Personal,38,Self-employed,5612388,467699,Wedding,8040364,48,21.05,4537871,703,2,5,,,,0.877
CUST200008,LN300008,Personal,46,Unemployed,8976761,748063,Medical,3354817,84,19.76,13270321,642,1,4,,,,0.0
CUST200096,LN300096,Business,27,Business-owner,11934293,994524,Business Expansion,8505356,60,9.81,7466897,686,1,0,15297174.37,-10.02,8.0,0.749
CUST200028,LN300028,Personal,58,Salaried,451616,37634,Personal,1980155,12,7.55,14451300,634,1,5,,,,0.76
CUST200020,LN300020,Personal,45,Salaried,1180500,98375,Home,1596590,12,13.05,4032654,847,0,0,,,,0.575
CUST200082,LN300082,Business,51,Business-owner,10132700,844391,Equipment Finance,12939409,48,20.23,893150,837,0,9,11956502.86,-0.34,8.0,0.0
CUST200026,LN300026,Personal,67,Unemployed,9759818,813318,Home,13536600,48,11.95,6893728,775,1,3,,,,0.0
CUST200063,LN300063,Personal,26,Salaried,766290,63857,Debt Consolidation,10169777,84,13.83,3216662,784,0,9,,,,0.0
CUST200014,LN300014,Personal,61,Unemployed,11474924,956243,Wedding,8389689,120,7.73,9991183,775,0,4,,,,0.035
CUST200025,LN300025,Personal,57,Salaried,2244412,187034,Home,5329792,36,11.92,10831890,397,1,6,,,,0.884
CUST200004,LN300004,Personal,39,Self-employed,7345795,612149,Debt Consolidation,3792962,12,7.72,10149035,594,0,4,,,,0.371
CUST200018,LN300018,Personal,65,Salaried,10518535,876544,Car,3194108,120,14.16,2903633,726,0,2,,,,0.357
CUST200039,LN300039,Personal,32,Salaried,7512300,626025,Medical,7657174,12,12.15,296063,826,0,2,,,,0.66
CUST200009,LN300009,Personal,46,Self-employed,9283739,773644,Car,7433718,84,14.64,10466615,381,1,6,,,,0.484
CUST200079,LN300079,Business,55,Business-owner,2551146,212595,Equipment Finance,14480862,36,20.25,5514214,474,1,2,2762342.57,-4.48,15.0,0.015
CUST200007,LN300007,Personal,64,Unemployed,5827372,485614,Car,4868287,60,7.71,2225300,454,0,4,,,,0.346
CUST200065,LN300065,Business,36,Business-owner,3597778,299814,Working Capital,7739585,48,17.71,9421077,392,0,5,10760497.85,3.92,7.0,0.247
CUST200037,LN300037,Personal,21,Self-employed,5248554,437379,Debt Consolidation,10920518,12,9.69,11103831,467,0,8,,,,0.0
CUST200090,LN300090,Business,50,Self-employed,5236371,436364,Equipment Finance,11322820,36,7.26,11604008,541,1,6,9092023.75,40.3,9.0,0.0
CUST200057,LN300057,Personal,49,Self-employed,1595554,132962,Debt Consolidation,1604645,48,13.57,16728652,723,0,7,,,,0.613
CUST200100,LN300100,Business,47,Self-employed,5999586,499965,Business Expansion,4065721,12,13.86,7870267,776,0,7,6550216.37,18.79,2.0,0.0
CUST200055,LN300055,Personal,31,Self-employed,4612889,384407,Home,11600457,36,22.41,7775679,743,1,0,,,,0.491
CUST200044,LN300044,Personal,22,Unemployed,3679537,306628,Wedding,10555282,24,14.45,6010224,758,0,8,,,,0.7
CUST200051,LN300051,Personal,49,Unemployed,4367382,363948,Wedding,2070053,24,20.95,2561913,831,0,3,,,,0.0
CUST200068,LN300068,Business,44,Business-owner,9324391,777032,Business Expansion,5115670,84,7.63,4563870,741,3,2,9275390.23,39.62,26.0,0.0
CUST200047,LN300047,Personal,39,Self-employed,8089292,674107,Personal,5128728,48,15.09,17696350,684,0,6,,,,0.335
CUST200069,LN300069,Business,58,Self-employed,5880629,490052,Business Expansion,7925435,60,9.36,7321105,431,0,0,17959505.95,-22.18,21.0,0.068
CUST200062,LN300062,Personal,50,Salaried,3097465,258122,Debt Consolidation,10935523,36,20.35,1769617,670,0,9,,,,0.858
CUST200098,LN300098,Business,22,Self-employed,7216735,601394,Invoice Discounting,8252823,24,9.44,12597589,545,1,0,13557767.18,28.79,13.0,0.432
CUST200080,LN300080,Business,54,Self-employed,9445386,787115,Invoice Discounting,7826421,24,8.49,10926684,416,0,1,5708236.68,34.38,8.0,0.0
CUST200042,LN300042,Personal,59,Salaried,10631957,885996,Debt Consolidation,8902600,84,20.12,6717526,839,0,2,,,,0.572
CUST200059,LN300059,Personal,43,Salaried,9835672,819639,Debt Consolidation,11954901,36,11.22,4714386,855,0,7,,,,0.657
CUST200049,LN300049,Personal,54,Self-employed,2930774,244231,Medical,7640958,24,21.79,12563926,506,0,6,,,,0.89
CUST200099,LN300099,Business,63,Self-employed,7847227,653935,Equipment Finance,504103,84,9.33,3390919,511,1,5,10160784.33,13.38,19.0,0.62
CUST200058,LN300058,Personal,39,Unemployed,9363409,780284,Wedding,8070763,120,11.5,1008314,663,1,3,,,,0.0
CUST200076,LN300076,Business,53,Self-employed,499503,41625,Invoice Discounting,6508000,12,16.35,11568496,424,0,7,10703548.76,29.02,28.0,0.403
CUST200033,LN300033,Personal,34,Unemployed,5810385,484198,Debt Consolidation,8822907,36,16.95,13814531,739,0,8,,,,0.0
CUST200095,LN300095,Business,37,Business-owner,10001625,833468,Working Capital,812515,120,12.88,2189568,426,0,3,5408960.67,-11.55,32.0,0.586
CUST200060,LN300060,Personal,61,Unemployed,9053326,754443,Medical,5512952,48,21.82,10197174,644,0,5,,,,0.603
CUST200064,LN300064,Personal,38,Self-employed,9989801,832483,Wedding,9326607,48,22.14,8637872,531,0,1,,,,0.357
CUST200085,LN300085,Business,30,Self-employed,2571721,214310,Invoice Discounting,702346,48,15.87,2931659,397,0,8,4493562.09,-23.62,6.0,0.276
CUST200038,LN300038,Personal,47,Self-employed,3371070,280922,Medical,706268,48,18.46,4467223,378,0,8,,,,0.28
CUST200030,LN300030,Personal,58,Self-employed,8040339,670028,Personal,14687420,36,10.92,11434523,780,1,2,,,,0.0
CUST200002,LN300002,Personal,48,Self-employed,10312008,859334,Wedding,9487719,48,12.47,4545583,877,0,7,,,,0.816
CUST200053,LN300053,Personal,37,Unemployed,272458,22704,Home,15493631,12,17.77,10312390,760,1,3,,,,0.002
CUST200022,LN300022,Personal,50,Self-employed,6207764,517313,Home,13271667,84,11.25,11654304,834,1,1,,,,0.0
CUST200003,LN300003,Personal,31,Salaried,10675511,889625,Debt Consolidation,14032538,12,19.03,2558231,572,0,0,,,,0.488
CUST200024,LN300024,Personal,55,Salaried,1753879,146156,Car,1800752,60,15.4,7253817,740,3,3,,,,0.693
CUST200088,LN300088,Business,26,Self-employed,6191053,515921,Business Expansion,15120611,24,14.14,14116198,519,1,2,397886.65,-1.22,11.0,0.0
CUST200092,LN300092,Business,48,Business-owner,10777913,898159,Working Capital,14980471,60,14.98,17261643,425,0,9,1786071.19,10.27,28.0,0.431
CUST200075,LN300075,Business,32,Business-owner,2137244,178103,Invoice Discounting,14862498,24,13.25,10563357,760,3,3,7512244.35,-13.58,23.0,0.402
CUST200087,LN300087,Business,34,Self-employed,2588963,215746,Equipment Finance,7840707,60,21.56,558745,402,1,5,10869731.44,35.76,29.0,0.742
CUST200083,LN300083,Business,34,Self-employed,6637734,553144,Invoice Discounting,14529348,24,23.51,5585056,428,1,1,17924654.04,6.75,23.0,0.182
CUST200021,LN300021,Personal,57,Salaried,5574339,464528,Debt Consolidation,5897809,36,21.06,14978249,520,1,9,,,,0.32
CUST200061,LN300061,Personal,56,Salaried,11264374,938697,Wedding,4435239,120,11.11,17650636,735,0,7,,,,0.0
CUST200072,LN300072,Business,39,Business-owner,6717448,559787,Working Capital,11447391,60,21.18,13155197,377,1,3,11780925.24,50.51,11.0,0.083
CUST200015,LN300015,Personal,24,Unemployed,5246650,437220,Personal,13517927,48,20.84,17208629,617,0,9,,,,0.47
CUST200093,LN300093,Business,35,Self-employed,11875737,989644,Equipment Finance,4985440,48,21.1,1193728,680,2,9,7131821.37,-6.84,26.0,0.399
CUST200052,LN300052,Personal,33,Unemployed,1507197,125599,Debt Consolidation,13679690,12,10.66,6768419,894,2,3,,,,0.62
